기준_년분기_코드,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00~06_매출_건수,시간대_06~11_매출_건수,시간대_11~14_매출_건수,시간대_14~17_매출_건수,시간대_17~21_매출_건수,시간대_21~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20243,CS200005,스포츠 강습,125621989726.0,560552.0,114839751900.0,10782237826.0,30659656338.0,22683014516.0,19959596104.0,19905795231.0,21631689711.0,7980345220.0,2801892606.0,313273700.0,10780496989.0,21717738293.0,27194815821.0,53891902018.0,11723762905.0,44909131421.0,76391286774.0,264735815.0,14179488115.0,30537603201.0,48808297731.0,20404872792.0,7104969583.0,472987.0,87565.0,124015.0,90482.0,86423.0,81608.0,90459.0,51815.0,35750.0,7645.0,48826.0,78575.0,135453.0,230966.0,59087.0,248918.0,300209.0,10499.0,73887.0,124032.0,237206.0,76375.0,27131.0
20243,CS200034,여관,66846551483.0,1268476.0,45882940520.0,20963610963.0,9835196961.0,8660760226.0,8726616371.0,9059335045.0,9601031917.0,11035711281.0,9927899682.0,19019679319.0,4576158063.0,4400681116.0,9382799425.0,18839548258.0,10627685302.0,34638804238.0,12333788259.0,563986366.0,9639662558.0,11740893164.0,9624297263.0,9747134639.0,5656139600.0,821961.0,446515.0,163766.0,155096.0,166390.0,166635.0,170074.0,233520.0,212995.0,260199.0,68240.0,124630.0,202167.0,354669.0,258571.0,869820.0,322857.0,18482.0,385561.0,328263.0,180558.0,170101.0,109699.0
20243,CS200036,고시원,219413547.0,429.0,156874462.0,62539085.0,56005084.0,18625257.0,18625257.0,31809432.0,31809432.0,33734737.0,28804348.0,0.0,31809432.0,18625257.0,42820909.0,33734737.0,92423212.0,151304067.0,68109480.0,0.0,70985251.0,53000000.0,0.0,95428296.0,0.0,298.0,131.0,89.0,41.0,104.0,32.0,32.0,73.0,58.0,0.0,32.0,41.0,98.0,73.0,185.0,219.0,210.0,0.0,218.0,115.0,0.0,96.0,0.0
20243,CS300002,편의점,1131581309930.0,165985978.0,834792096833.0,296789213097.0,172356835176.0,159486946689.0,162624659869.0,165021248549.0,175302406550.0,158070521154.0,138718691943.0,101810632624.0,180633324896.0,169440205880.0,171107914467.0,315729906420.0,192859325643.0,668869482812.0,436400546192.0,15342702776.0,227439447212.0,312580188699.0,240122925237.0,202289899891.0,107494865234.0,124129192.0,41856786.0,25793701.0,23995614.0,24382404.0,24470165.0,25487308.0,22204978.0,19651808.0,13913005.0,32297180.0,26810911.0,25068897.0,42140217.0,25755768.0,100792950.0,63123710.0,3546395.0,37103083.0,46749462.0,33300287.0,28146842.0,15070636.0
20243,CS300010,반찬가게,834230056170.0,32501744.0,696140329016.0,138089727154.0,157481511589.0,126649610722.0,137510934849.0,130458848499.0,144039423357.0,101837520990.0,36252206164.0,130753281502.0,193230585032.0,216072107066.0,167389595569.0,87656110830.0,39128376171.0,351098815992.0,345015147302.0,821934072.0,27937919630.0,95148138998.0,149928495957.0,181064608942.0,241210916886.0,26375375.0,6126369.0,5784260.0,5023858.0,5114832.0,5079668.0,5372757.0,3723980.0,2402389.0,1528039.0,7239137.0,10158300.0,6462711.0,5866680.0,1246877.0,15357807.0,14937766.0,190358.0,3896771.0,7095865.0,6157793.0,6326482.0,6628285.0
20243,CS300021,문구,267592290132.0,8908871.0,247166416872.0,20425873260.0,52626121990.0,45940091578.0,51619853992.0,48091771971.0,48888577341.0,13796655160.0,6629218100.0,191522414.0,45309631842.0,81109884511.0,103575721618.0,35534255068.0,1871274679.0,74905828293.0,48873851577.0,1340705605.0,9725031728.0,18525593396.0,27304003913.0,30882010664.0,36002334564.0,7361356.0,1547515.0,1568095.0,1419693.0,1454351.0,1424964.0,1494253.0,980420.0,567095.0,12012.0,1178030.0,2640939.0,2937854.0,1996479.0,143557.0,3370420.0,3714018.0,215994.0,1099976.0,1407082.0,1927283.0,1372307.0,1061802.0
20243,CS100005,제과점,252887710358.0,24163819.0,184873778121.0,68013932237.0,36564909810.0,34804579379.0,37284625685.0,35915671381.0,40303991866.0,37456361256.0,30557570981.0,278419979.0,48127142185.0,65175326622.0,57137709633.0,69200497448.0,12968614491.0,89033421299.0,135911348774.0,1517345916.0,29427175531.0,50536003744.0,54758795802.0,48825698285.0,39879750766.0,17901512.0,6262307.0,3629121.0,3408416.0,3634925.0,3473685.0,3755365.0,3430759.0,2831548.0,22512.0,5046610.0,5721907.0,5170169.0,6803010.0,1399611.0,8963510.0,14111924.0,224804.0,3435678.0,5318812.0,5348869.0,4779051.0,3968225.0
20243,CS100006,패스트푸드점,181127864707.0,15120154.0,127435308162.0,53692556545.0,24823580189.0,23856210560.0,25493540433.0,25494490584.0,27767486396.0,28312543800.0,25380012745.0,4098184438.0,12288971275.0,56246821543.0,31450212939.0,62252794748.0,14790879764.0,85633821993.0,75195144685.0,2965467842.0,33962410778.0,43774100327.0,36078515956.0,29024091440.0,15024380307.0,10875907.0,4244247.0,2180570.0,2051639.0,2173910.0,2171303.0,2298485.0,2252784.0,1991463.0,502829.0,1319317.0,4345929.0,2644089.0,4850897.0,1457093.0,7651654.0,6822578.0,335317.0,3407735.0,4107347.0,3022121.0,2353119.0,1248626.0
20243,CS100007,치킨전문점,126712572768.0,3905784.0,93607092778.0,33105479990.0,17130040855.0,16589165651.0,18970674902.0,19010770373.0,21906440997.0,19053747737.0,14051732253.0,8774021127.0,609769567.0,5108891614.0,7539329057.0,55178979388.0,49501582015.0,70507916344.0,40137252930.0,763361421.0,14444686697.0,23957119184.0,26029175695.0,27646100009.0,17804654486.0,2817482.0,1088302.0,511347.0,500357.0,569943.0,573249.0,662586.0,609067.0,479235.0,194703.0,27781.0,247950.0,317495.0,1869727.0,1248128.0,2235154.0,1426257.0,37505.0,492914.0,755555.0,825126.0,909514.0,640808.0
20243,CS200007,치과의원,648139489078.0,4379600.0,561874807761.0,86264681317.0,132808586110.0,121325606570.0,99259436170.0,85679951984.0,122801226927.0,81711553935.0,4553127382.0,141851.0,88553896777.0,227348058134.0,205345336283.0,125647584994.0,1244471039.0,323794325759.0,321645475277.0,805935639.0,41242269103.0,88379190906.0,137042405351.0,170589168482.0,207381524778.0,3765218.0,614382.0,897398.0,783789.0,674927.0,568575.0,840529.0,590759.0,23623.0,7.0,812944.0,1331622.0,1466592.0,765729.0,2706.0,2160462.0,2211372.0,12792.0,355396.0,701705.0,1000193.0,1033204.0,1268601.0
20243,CS200019,PC방,99325859828.0,18177387.0,64529829906.0,34796029922.0,13374394351.0,11833667495.0,12492883725.0,12311823996.0,14517060339.0,18353596139.0,16442433783.0,14100989729.0,6420880785.0,12059815608.0,17819635245.0,29566219637.0,19358318824.0,78654570121.0,20609180578.0,6879533351.0,42472119449.0,29166853329.0,10369979781.0,8153147344.0,2222117450.0,11900034.0,6277353.0,2480708.0,2185408.0,2312722.0,2268572.0,2652624.0,3289523.0,2987830.0,2468388.0,1135701.0,2135560.0,3486146.0,5481592.0,3470000.0,14160018.0,4013868.0,1715702.0,7996399.0,4745616.0,1874361.0,1477333.0,364469.0
20243,CS300006,미곡판매,117699098016.0,2591385.0,100382435674.0,17316662342.0,22541548787.0,17713336724.0,17639772117.0,18906632115.0,23581145931.0,13631623336.0,3685039006.0,11468526257.0,41034139039.0,26198910107.0,26256439386.0,12492144482.0,248938745.0,42348106271.0,61975654364.0,8313634.0,1335527571.0,9649387343.0,12076049699.0,18709838417.0,62557479468.0,2020994.0,570391.0,473930.0,363827.0,358144.0,376580.0,448513.0,427753.0,142638.0,89178.0,705639.0,701975.0,703705.0,379254.0,11634.0,1060724.0,1425121.0,829.0,37395.0,149720.0,275008.0,543412.0,1479593.0
20243,CS300014,신발,112014092447.0,1198458.0,81164794991.0,30849297456.0,13852911234.0,20696049235.0,14086056405.0,15225636395.0,17304141722.0,17523807300.0,13325490156.0,194406563.0,8953748358.0,40292387915.0,32669565483.0,28319814328.0,1584169800.0,53372703173.0,49898063022.0,500249968.0,11775536419.0,18844377448.0,18250543398.0,29083433631.0,24816625320.0,808009.0,390449.0,166514.0,147860.0,163718.0,163267.0,166650.0,220295.0,170154.0,1354.0,79425.0,325104.0,406275.0,356873.0,29427.0,510218.0,659924.0,10923.0,170480.0,203941.0,188930.0,224720.0,371153.0
20243,CS300028,화초,57280830911.0,1206542.0,46028524588.0,11252306323.0,10040872075.0,8483701469.0,8370772505.0,8998152104.0,10135026435.0,7163097340.0,4089208983.0,572957021.0,11024519480.0,15606671797.0,16881056138.0,11710315602.0,1485310873.0,19250905763.0,21698756564.0,171779474.0,4225396562.0,9409830907.0,7536702301.0,9252718965.0,10353234102.0,909669.0,296873.0,178376.0,159227.0,174119.0,174014.0,223933.0,194208.0,102665.0,8705.0,155944.0,348864.0,340128.0,326946.0,25955.0,443372.0,592342.0,10886.0,194507.0,265446.0,190207.0,186299.0,188377.0
