Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,83300,2,-2800,-3.25,85000,85300,82400,24071193,2011031686444,493105838902600,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,336500,2,-20000,-5.61,347500,349000,333000,3685324,1253030899140,244972795822500,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,349000,2,-12500,-3.46,356000,356000,349000,122326,42941934000,81666000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1000000,2,-22000,-2.15,1010000,1015000,982000,94936,95131781500,71174000000000,71174000,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1044000,2,-4000,-0.38,1052000,1070000,1025000,192038,200768593756,53832190644000,51563401,STK
005935,KR7005931001,삼성전자우,KOSPI,,65200,2,-2200,-3.26,66800,67000,65000,2629345,172993861750,53201548092800,815974664,STK
005380,KR7005380001,현대차,KOSPI,,214500,2,-2500,-1.15,215000,215500,213000,448652,96075331750,43920540807000,204757766,STK
329180,KR7329180004,HD현대중공업,KOSPI,,491500,2,-13500,-2.67,501000,503000,484000,194966,96112512250,43631986514000,88773116,STK
105560,KR7105560007,KB금융,KOSPI,,112700,2,-1600,-1.4,113400,113950,111900,852956,96079146200,42990779008100,381462103,STK
068270,KR7068270008,셀트리온,KOSPI,,178000,1,100,0.06,180700,181500,176000,887114,158652623350,41107169412000,230939154,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,63100,2,-900,-1.41,63500,64300,62100,5541302,350411167100,40419408312600,640561146,STK
035420,KR7035420009,NAVER,KOSPI,,256500,1,2500,0.98,251500,262000,250000,4597910,1182526042750,40232701647000,156852638,STK
000270,KR7000270009,기아,KOSPI,,100200,2,-1800,-1.76,101200,101300,100200,700206,70438939150,39457684854000,393789270,STK
055550,KR7055550008,신한지주,KOSPI,,69200,2,-600,-0.86,69200,69900,68800,1613570,111783311450,33596249432800,485494934,STK
042660,KR7042660001,한화오션,KOSPI,,107000,2,-2600,-2.37,109800,110200,105100,1368632,146579420750,32786233158000,306413394,STK
028260,KR7028260008,삼성물산,KOSPI,,187900,2,-2400,-1.26,188400,189300,185900,286185,53556826650,31938592617600,169976544,STK
032830,KR7032830002,삼성생명,KOSPI,,152000,1,1800,1.2,150300,152700,149100,353127,53495696500,30400000000000,200000000,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,397500,2,-5500,-1.36,405000,408000,390000,166078,65972524250,28132313610000,70773116,STK
012330,KR7012330007,현대모비스,KOSPI,,295000,2,-6000,-1.99,299000,300000,292500,231752,68467621750,27079552730000,91795094,STK
035720,KR7035720002,카카오,KOSPI,,59300,2,-3900,-6.17,62400,62500,59100,4899137,294440590650,26226937446500,442275505,STK
402340,KR7402340004,SK스퀘어,KOSPI,,195300,2,-15700,-7.44,203500,208000,194900,823131,162794449650,25885229567400,132540858,STK
086790,KR7086790003,하나금융지주,KOSPI,,87100,2,-1800,-2.02,89100,89100,87000,664147,58252836050,24799450731900,284723889,STK
015760,KR7015760002,한국전력,KOSPI,,36200,1,200,0.56,36100,36700,35850,1472003,53300874500,23239099587400,641964077,STK
064350,KR7064350002,현대로템,KOSPI,,212500,2,-6000,-2.75,218500,220500,209500,527409,112894810250,23192737262500,109142293,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,275000,2,-6000,-2.14,279000,279000,274000,199295,54862039250,22256561800000,80932952,STK
